Symbol,Signal,Timestamp,M5,M15,M30,H1,H4,D1,W1,MN1
AUDCAD,EMA21,2022-11-11 20:34:33,-X,1,1,1,1,1,-1,-1
AUDCAD,EMA50,2022-11-11 20:34:33,1,1,1,1,1,1,-1,-1
AUDCAD,EMA100,2022-11-11 20:34:33,1,1,1,1,1,-1,-1,-1
AUDCAD,EMA200,2022-11-11 20:34:33,1,1,1,1,1,-1,-1,-1
AUDCAD,SignalX,2022-11-11 20:34:33,,,,,-4,-1,,
AUDCAD,3LP,2022-11-11 20:34:33,,,,,-1,1,X,
AUDCAD,3LS,2022-11-11 20:34:33,,,,,,,,
AUDCAD,Fractals,2022-11-11 20:34:34,,,-1,,,,,
AUDCHF,EMA21,2022-11-11 20:34:34,-1,-X,1,1,1,X,-1,-1
AUDCHF,EMA50,2022-11-11 20:34:34,-X,1,1,1,1,-1,-1,-1
AUDCHF,EMA100,2022-11-11 20:34:34,1,1,1,1,1,-1,-1,-1
AUDCHF,EMA200,2022-11-11 20:34:34,1,1,1,1,1,-1,-1,-1
AUDCHF,SignalX,2022-11-11 20:34:34,,,,,,,,
AUDCHF,3LP,2022-11-11 20:34:34,,,,,-1,1,1,
AUDCHF,3LS,2022-11-11 20:34:34,,,,,,,,
AUDCHF,Fractals,2022-11-11 20:34:35,-1,,-1,1,,,,
AUDJPY,EMA21,2022-11-11 20:34:35,-1,-1,-1,-X,-X,-1,1,1
AUDJPY,EMA50,2022-11-11 20:34:35,-1,-1,-1,-1,-1,-1,1,1
AUDJPY,EMA100,2022-11-11 20:34:35,-1,-1,-1,-1,-1,-1,1,1
AUDJPY,EMA200,2022-11-11 20:34:35,-1,-1,-1,-1,-1,1,1,1
AUDJPY,SignalX,2022-11-11 20:34:35,4,1,,,,,,
AUDJPY,3LP,2022-11-11 20:34:35,,,,,1,-1,X,
AUDJPY,3LS,2022-11-11 20:34:35,,,,,-1,,-1,
AUDJPY,Fractals,2022-11-11 20:34:36,,,,,,,,-1
