Symbol,Signal,Timestamp,M5,M15,M30,H1,H4,D1,W1,MN1
AUDCAD,EMA21,12:25:29,-X,-1,1,1,1,1,1,-1
AUDCAD,EMA50,12:25:29,-1,1,1,1,1,1,-1,-1
AUDCAD,EMA100,12:25:29,1,1,1,1,1,1,-1,-1
AUDCAD,EMA200,12:25:29,1,1,1,1,1,-1,-1,-1
AUDCAD,SignalX,12:25:29,,,,,,,,
AUDCAD,3LP,12:25:29,,,,,-1,1,1,
AUDCAD,3LS,12:25:32,,,,,,,,
AUDCAD,Fractals,12:25:33,,1,,,,,,
AUDCHF,EMA21,12:25:33,1,X,-1,-1,-1,-1,-1,-1
AUDCHF,EMA50,12:25:33,1,-1,-1,-1,-1,-1,-1,-1
AUDCHF,EMA100,12:25:33,-X,-1,-1,-1,-1,-1,-1,-1
AUDCHF,EMA200,12:25:33,-1,-1,-1,-1,-1,-1,-1,-1
AUDCHF,SignalX,12:25:33,,,,,,,,
AUDCHF,3LP,12:25:33,,,,,-1,-1,-X,
AUDCHF,3LS,12:25:33,,,,,,,,
AUDCHF,Fractals,12:25:34,,1,,-1,,-1,-1,
AUDJPY,EMA21,12:25:34,-X,1,1,1,X,-1,X,1
AUDJPY,EMA50,12:25:34,1,1,1,1,-1,-1,1,1
AUDJPY,EMA100,12:25:34,1,1,1,1,-1,X,1,1
AUDJPY,EMA200,12:25:34,1,1,1,-1,-1,1,1,1
AUDJPY,SignalX,12:25:34,,,,,,,,
AUDJPY,3LP,12:25:34,,,,,1,-1,-1,
AUDJPY,3LS,12:25:34,,,,,,,,
AUDJPY,Fractals,12:25:35,,,,,-1,1,,-1
AUDNZD,EMA21,12:25:35,-1,-1,-X,-X,1,-1,-1,1
AUDNZD,EMA50,12:25:35,-1,-1,-X,1,1,-1,1,1
AUDNZD,EMA100,12:25:35,-1,-X,1,1,-1,-1,1,1
AUDNZD,EMA200,12:25:35,-1,1,1,1,-1,-1,1,-1
AUDNZD,SignalX,12:25:35,,1,,,,,,
AUDNZD,3LP,12:25:35,,,,,1,-1,1,
AUDNZD,3LS,12:25:35,,,,,,,,
AUDNZD,Fractals,12:25:36,1,,,-1,-1,-1,1,-1
AUDUSD,EMA21,12:25:36,1,-1,-1,X,1,1,1,-1
AUDUSD,EMA50,12:25:36,-X,-1,X,1,1,1,-1,-1
AUDUSD,EMA100,12:25:36,-1,1,1,1,1,1,-1,-1
AUDUSD,EMA200,12:25:36,1,1,1,1,1,-1,-1,-1
AUDUSD,SignalX,12:25:36,,,,,,,,
